s_ptx0.125,vtrue_ptx0.125,vpred_ptx0.125,s_ptx0.25,vtrue_ptx0.25,vpred_ptx0.25,t,re_path_mean5,re_path_sd2x
-1.0,0.19456176,0.142447852,-1.0,0.20943895,0.14369986399999998,0.0,0.0211464402,0.030031091599999997
-0.97979796,0.18220279,0.137363012,-0.97979796,0.19883801,0.13847904400000002,0.01,0.0210421008,0.0303573184
-0.959596,0.16849148,0.13053723,-0.959596,0.18687697,0.13141038,0.02,0.0208992214,0.029231398
-0.93939394,0.15331677,0.12159261399999999,-0.93939394,0.17336653,0.122278266,0.03,0.0205849618,0.0298955472
-0.9191919,0.13657606,0.1105518628,-0.9191919,0.15819913,0.1111552402,0.04,0.0201114358,0.029273266799999996
-0.8989899,0.11815203,0.0974340444,-0.8989899,0.14116526,0.097942021,0.049999997,0.0196794512,0.029182260999999998
-0.8787879,0.097942576,0.08181596,-0.8787879,0.122153364,0.08190604319999999,0.06,0.019355665799999998,0.0297183828
-0.85858583,0.07590268,0.06337252040000001,-0.85858583,0.10105194,0.062930844,0.07,0.019115831399999998,0.0295419606
-0.83838385,0.05194974,0.0412211754,-0.83838385,0.0777281,0.0407415562,0.08,0.0187614934,0.030422874
-0.8181818,0.026008703,0.0163763454,-0.8181818,0.052138794,0.01548811404,0.089999996,0.0186685524,0.0304725688
-0.7979798,-0.0018632923,-0.011282212319999999,-0.7979798,0.024282848,-0.012513047999999999,0.099999994,0.018548064,0.0305872488
-0.7777778,-0.03167129,-0.041406505600000004,-0.7777778,-0.005958532,-0.042823080599999994,0.11,0.018816117,0.0295209304
-0.75757575,-0.06334069,-0.0733455408,-0.75757575,-0.038439207,-0.0748070748,0.12,0.018968865199999997,0.0297964712
-0.7373737,-0.09689703,-0.10761702980000001,-0.7373737,-0.073241904,-0.10912044000000001,0.13,0.019120331600000002,0.029258166599999996
-0.7171717,-0.13219948,-0.143681962,-0.7171717,-0.110164106,-0.14502484200000001,0.14,0.019475921200000003,0.0289235418
-0.6969697,-0.16904926,-0.18140166600000002,-0.6969697,-0.1490784,-0.182823998,0.14999999,0.0193110008,0.0290965706
-0.6767677,-0.2073856,-0.220083568,-0.6767677,-0.18987185,-0.22135426199999997,0.16,0.0192605014,0.028356075
-0.65656567,-0.24695188,-0.259713704,-0.65656567,-0.23221917,-0.260368488,0.17,0.019134098,0.0286342488
-0.6363636,-0.28756246,-0.299603966,-0.6363636,-0.27596408,-0.299973916,0.17999999,0.0190596122,0.028762088400000003
