s,v_true_ref,v_pred_eps1.0,v_pred_eps0.5,v_pred_eps0.25,v_pred_eps0.125
-1.0,0.17999627,-0.37889833250000005,-0.40869966,-0.14495479,-0.06305088
-0.97979796,0.16621391,-0.39503589499999997,-0.42540827,-0.16199718,-0.07720357
-0.959596,0.15116517,-0.41172531749999997,-0.44257274,-0.17994705,-0.09173628
-0.93939394,0.13479342,-0.42899813499999995,-0.46001956,-0.19861984,-0.1068908
-0.9191919,0.11691397,-0.44664285750000005,-0.477322,-0.21779324,-0.12260903
-0.8989899,0.09755237,-0.46479623999999997,-0.49534583,-0.2372439,-0.13890493
-0.8787879,0.07658223,-0.48349886750000004,-0.5141324,-0.25682408,-0.15627709
-0.85858583,0.054024793,-0.5025512625,-0.53349173,-0.27700067,-0.17402235
-0.83838385,0.02975517,-0.5218107775,-0.5530024,-0.2974831,-0.19204041
-0.8181818,0.003822291,-0.5414155125,-0.5724357,-0.3185072,-0.21085805
-0.7979798,-0.023786537,-0.5614945225,-0.59258425,-0.3401152,-0.23023194
-0.7777778,-0.052998308,-0.5818862275,-0.6132481,-0.3619604,-0.24970451
-0.75757575,-0.08385713,-0.6027214824999999,-0.6345757,-0.3842553,-0.26968253
-0.7373737,-0.11618541,-0.6238872274999999,-0.6560582,-0.40686375,-0.29009676
-0.7171717,-0.14989677,-0.6452624050000001,-0.6777984,-0.42993832,-0.3103588
-0.6969697,-0.18501022,-0.6670223274999999,-0.6997023,-0.45325243,-0.33119118
-0.6767677,-0.22120391,-0.6894684974999999,-0.72222626,-0.47695047,-0.35259026
-0.65656567,-0.2584858,-0.7124014949999999,-0.7454117,-0.50096124,-0.37399644
-0.6363636,-0.29658583,-0.735443575,-0.768528,-0.5248736,-0.3957253
-0.61616164,-0.33532476,-0.7585648824999999,-0.7916763,-0.54852015,-0.41785908
-0.5959596,-0.3744998,-0.7820157150000001,-0.8147694,-0.5722998,-0.44090736
-0.57575756,-0.41395617,-0.805982125,-0.838418,-0.5962267,-0.4645654
-0.5555556,-0.45342064,-0.830205795,-0.86276394,-0.6203946,-0.48852134
-0.53535354,-0.4927073,-0.85466654,-0.8874334,-0.64496976,-0.5128368
-0.5151515,-0.5315661,-0.8791318875,-0.9118508,-0.669192,-0.53766155
-0.4949495,-0.56988513,-0.9037473599999999,-0.9362854,-0.69350314,-0.5628743
-0.47474748,-0.60733634,-0.9286524574999999,-0.96066713,-0.7182175,-0.5884963
-0.45454547,-0.64383364,-0.9534479125,-0.9844968,-0.74334055,-0.6145637
-0.43434343,-0.67918956,-0.9781383799999999,-1.0079036,-0.76848286,-0.64088136
-0.41414142,-0.71320105,-1.0027295,-1.0309914,-0.7937939,-0.6676909
-0.3939394,-0.7457996,-1.0268686150000002,-1.0534633,-0.81931376,-0.6935783
-0.37373737,-0.7768287,-1.050690475,-1.0760906,-0.8442719,-0.7187762
-0.35353535,-0.80606645,-1.07384156,-1.0981569,-0.86861384,-0.7434983
-0.33333334,-0.8336384,-1.09587325,-1.1191729,-0.8920665,-0.7670438
-0.3131313,-0.8594631,-1.116378975,-1.1387833,-0.91378164,-0.78985476
-0.2929293,-0.8834967,-1.13536985,-1.1568685,-0.9344639,-0.8117219
-0.27272728,-0.9056067,-1.1526830325000001,-1.1731342,-0.9532383,-0.83159333
-0.25252524,-0.92585766,-1.16779955,-1.1877887,-0.96892095,-0.84918845
-0.23232323,-0.9443829,-1.1810265100000001,-1.1995972,-0.9822953,-0.86501384
-0.21212122,-0.9610303,-1.1916994975,-1.2095597,-0.99297976,-0.87674683
-0.1919192,-0.975966,-1.200348675,-1.2177589,-1.0019766,-0.8868719
-0.17171717,-0.98919594,-1.20750785,-1.225373,-1.0097822,-0.8950822
-0.15151516,-1.0007832,-1.213731125,-1.2323017,-1.0167949,-0.9019549
-0.13131313,-1.0107299,-1.21940395,-1.2382531,-1.0232731,-0.9079185
-0.11111111,-1.0191679,-1.224435975,-1.2437235,-1.0287925,-0.9133111
-0.09090909,-1.026073,-1.22865844,-1.2480452,-1.0333923,-0.91821706
-0.07070707,-1.0315788,-1.23258205,-1.2521695,-1.0374862,-0.9227763
-0.05050505,-1.0356668,-1.235974325,-1.2564535,-1.0404229,-0.9267829
-0.030303031,-1.0383787,-1.239097775,-1.2603393,-1.0427107,-0.9304705
-0.010101011,-1.039732,-1.24210025,-1.2641497,-1.044886,-0.9335998
0.010101011,-1.0397722,-1.2447701750000002,-1.2672114,-1.0468764,-0.9362534
0.030303031,-1.0383732,-1.247427175,-1.2703373,-1.0485492,-0.9385399
0.05050505,-1.0356648,-1.2496926425000001,-1.2732067,-1.0496631,-0.94076407
0.07070707,-1.0316213,-1.2513647575,-1.2755041,-1.0505558,-0.94263303
0.09090909,-1.026116,-1.25254235,-1.2773645,-1.0509695,-0.9441327
0.11111111,-1.0191815,-1.253467625,-1.2793374,-1.0510253,-0.9451028
0.13131313,-1.0107526,-1.2540502125,-1.2801896,-1.0506291,-0.94613415
0.15151516,-1.0007582,-1.253859825,-1.2805562,-1.0493603,-0.9462864
0.17171717,-0.9892138,-1.25272205,-1.2788215,-1.0473293,-0.9461765
0.1919192,-0.97595596,-1.2507560349999998,-1.2762649,-1.0441943,-0.94521874
0.21212122,-0.9611174,-1.247494625,-1.272926,-1.0392495,-0.9430921
0.23232323,-0.9443474,-1.2431740075,-1.2685168,-1.0335892,-0.93874013
0.25252524,-0.9258959,-1.2375452,-1.2623554,-1.0270994,-0.9321559
0.27272728,-0.9056058,-1.2309347499999999,-1.2550638,-1.019977,-0.9243256
0.2929293,-0.8834828,-1.2228959125,-1.245966,-1.0107051,-0.91562855
0.3131313,-0.8595405,-1.2134521999999999,-1.2359333,-1.0000234,-0.9048487
0.33333334,-0.8336726,-1.2024054275,-1.2237386,-0.98820144,-0.89175797
0.35353535,-0.80606186,-1.1896500375,-1.2104781,-0.9749042,-0.87633955
0.37373737,-0.7767403,-1.17464109,-1.1952308,-0.95949036,-0.8583864
0.3939394,-0.74576,-1.1577311325,-1.1788685,-0.9411723,-0.83856833
0.41414142,-0.7132225,-1.13904915,-1.1601086,-0.92141795,-0.81689775
