jobid,stem,rows,final_iter,final_rt,final_error,final_rel_l1err_archived
491371,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_d1000_te1.0_s45fcb_d1000_s1,8001,8000.0,1733.8462,0.021634363,
491372,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_d1000_te1.0_s45fcb_d1000_s2,8001,8000.0,1731.3627,0.019647392,
491373,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_d1000_te1.0_s45fcb_d1000_s3,8001,8000.0,1731.741,0.018150523,
491374,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_d1000_te1.0_s45fcb_d1000_s4,8001,8000.0,1731.3303,0.022488628,
491380,SOCMartNet_ShiftTarget_cg10.0_tg3.0_d100_te1.0_s46f_st_d100_s0,1001,1000.0,83.708336,0.0118049765,
491381,SOCMartNet_ShiftTarget_cg10.0_tg3.0_d500_te1.0_s46f_st_d500_s0,1001,1000.0,185.19418,0.0026901264,
491409,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_eps1.0_d1000_te1.0_s47f_eps1.0_d1000_s0,4001,4000.0,866.8661,1.7379665,
491410,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_eps0.5_d1000_te1.0_s47f_eps0.5_d1000_s0,4001,4000.0,866.6603,0.81897163,
491411,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_eps0.25_d1000_te1.0_s47f_eps0.25_d1000_s0,4001,4000.0,866.7171,0.36459172,
491412,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_eps0.125_d1000_te1.0_s47f_eps0.125_d1000_s0,4001,4000.0,866.7684,0.19696246,
495819,SOCMartNet_Non-deg_HJBv3_delc0.1_te1.0_d100_te1.0_s42g_hjb1_d100_t1.0_s0,1001,1000.0,23.02993,0.0061479355,
495820,SOCMartNet_Non-deg_HJBv3_delc0.1_te0.5_d100_te0.5_s42g_hjb1_d100_t0.5_s0,1001,1000.0,22.856754,0.0064374064,
495821,SOCMartNet_Non-deg_HJBv3_delc0.1_te0.10000000149011612_d100_te0.1_s42g_hjb1_d100_t0.1_s0,1001,1000.0,23.014393,0.011849245,
495822,SOCMartNet_Non-deg_HJBv3_delc0.1_te0.009999999776482582_d100_te0.01_s42g_hjb1_d100_t0.01_s0,1001,1000.0,22.54847,0.031555578,
495823,SOCMartNet_Non-deg_HJBv3_delc0.1_te1.0_d1000_te1.0_s42g_hjb1_d1000_t1.0_s0,1001,1000.0,216.51924,0.0054836045,
495824,SOCMartNet_Non-deg_HJBv3_delc0.1_te0.5_d1000_te0.5_s42g_hjb1_d1000_t0.5_s0,1001,1000.0,216.48839,0.0069766412,
495825,SOCMartNet_Non-deg_HJBv3_delc0.1_te0.10000000149011612_d1000_te0.1_s42g_hjb1_d1000_t0.1_s0,1001,1000.0,216.66249,0.019420138,
495826,SOCMartNet_Non-deg_HJBv3_delc0.1_te0.009999999776482582_d1000_te0.01_s42g_hjb1_d1000_t0.01_s0,1001,1000.0,216.43658,0.11387818,
495827,SOCMartNet_Non-deg_HJBv3_delc0.1_te1.0_d2000_te1.0_s42g_hjb1_d2000_t1.0_s0,1001,1000.0,801.676,0.0029046172,
495970,SOCMartNet_ShiftTarget_cg10.0_tg3.0_d100_te1.0_s46f_st_d100_s1,1001,1000.0,86.920906,0.007980592,
495971,SOCMartNet_ShiftTarget_cg10.0_tg3.0_d100_te1.0_s46f_st_d100_s2,1001,1000.0,85.45974,0.0083388835,
