cell,config,paper_anchor,seed0,seed0_jobid,s1,s1_jobid,s2,s2_jobid,s3,s3_jobid,s4,s4_jobid,mean,sd,ratio
s41_d100,h6_w110_I2000_M1e4,fig-only,5.753e-3,5432739,6.078e-3,5432905,5.319e-3,5432906,5.337e-3,5432907,8.308e-3,5432908,6.159e-3,1.242e-3,-
s41_d1000,h6_w1010_I2000_M1e4,fig-only,6.922e-3,5432742,6.426e-3,5432910,7.502e-3,5432911,5.950e-3,5432912,5.899e-3,5432931,6.540e-3,0.679e-3,-
s41_d2000,h6_w2010_I4000_M6e3,fig-only,4.440e-3,5432762,4.206e-3,5432822,5.305e-3,5432823,3.867e-3,5432824,4.880e-3,5432825,4.540e-3,0.565e-3,-
s42_t1.0,h6_w110_I2000,fig-only,1.327e-2,5432744,1.943e-2,5432932,1.322e-2,5432933,1.338e-2,5432934,1.363e-2,5432935,1.459e-2,2.713e-3,-
s42_t0.1,h6_w110_I2000,fig-only,3.561e-3,5432745,3.561e-3,5432936,3.517e-3,5432937,2.198e-3,5432938,3.346e-3,5432940,3.237e-3,0.587e-3,-
s42_t0.05,h6_w110_I2000,fig-only,6.273e-3,5432746,6.328e-3,5432941,5.320e-3,5432943,4.692e-3,5432944,5.602e-3,5432945,5.643e-3,0.685e-3,-
s42_t0.01,h6_w110_I2000,fig-only,2.016e-2,5432747,2.101e-2,5432946,2.056e-2,5432947,1.961e-2,5432948,2.038e-2,5432950,2.034e-2,0.513e-3,-
s43_n3,h6_w110_I3000,6.437e-2,7.026e-2,5432779,7.381e-2,5432826,7.225e-2,5432827,7.268e-2,5432828,7.560e-2,5432829,7.292e-2,0.198e-2,1.13
s43_n4,h6_w110_I3000,4.481e-2,5.155e-2,5432780,5.037e-2,5432830,5.071e-2,5432831,5.102e-2,5432832,5.372e-2,5432833,5.147e-2,0.133e-2,1.15
s43_n5,h6_w110_I3000,3.326e-2,4.435e-2,5432781,4.410e-2,5432840,4.466e-2,5432841,4.479e-2,5432843,4.745e-2,5432844,4.507e-2,0.136e-2,1.36
s43_n6,h6_w110_I6000,2.661e-2,2.804e-2,5432818,3.430e-2,5432963,2.976e-2,5432964,3.205e-2,5432965,3.189e-2,5432966,3.121e-2,0.193e-2,1.17
s43_n8,h6_w110_I6000,2.003e-2,2.192e-2,5432819,2.449e-2,5432967,2.133e-2,5432968,2.369e-2,5432969,2.176e-2,5432970,2.264e-2,0.137e-2,1.13
s43_n12,h6_w110_I6000,1.460e-2,1.551e-2,5432820,1.868e-2,5432971,1.714e-2,5432972,1.428e-2,5432973,1.704e-2,5432974,1.653e-2,0.169e-2,1.13
s43_n18,h6_w110_I6000,1.032e-2,1.010e-2,5432821,1.051e-2,5432975,0.897e-2,5432976,0.920e-2,5432977,1.306e-2,5432978,1.037e-2,0.163e-2,1.005
s46_st_d100,h6_I3000_lr4x_rn01_lrho40x,fig-only,0.00206,510052,0.000975,510053,0.00171,510054,0.00135,510055,0.00115,510056,0.00145,0.00044,-
s46_st_d500,h6_I3000_lrho10x,fig-only,0.00246,509996,0.00382,509997,0.0031,509998,0.00323,509999,0.00352,510000,0.003228,0.00051,-
s47_eps1.0,h6_I4000,fig-only,1.73797,491409,1.73805,495979,1.74948,495980,1.73809,495981,1.75008,495982,1.74276,0.006430,-
s47_eps0.5,h6_I4000,fig-only,0.81897,491410,0.82068,495983,0.82989,495984,0.81983,495985,0.82700,495986,0.82328,0.004870,-
s47_eps0.25,h6_I4000,fig-only,0.36459,491411,0.36895,495987,0.37761,495988,0.36750,495989,0.37085,495990,0.36988,0.004870,-
s47_eps0.125,h6_I4000,fig-only,0.19696,491412,0.21098,495991,0.21313,495992,0.20372,495993,0.18952,495994,0.20286,0.009800,-
