cell,I,lr_rho_caliber,lr_rho_value,re_mean,re_sd,re_s0,re_s1,re_s2,re_s3,re_s4,dbsde_printed,ratio_vs_dbsde,quota_s,rt_mean,rt_s0,rt_s1,rt_s2,rt_s3,rt_s4,util
w256_d100,3200,1e-2 (paper),1.0e-2,1.6727e-03,4.7094e-04,1.0656e-03,1.2828e-03,2.0893e-03,2.0741e-03,1.8515e-03,3.23e-03,0.52,73,72.3,71.9,73.0,72.2,71.9,72.4,99%
w256_d300,3300,1e-2 (paper),1.0e-2,6.5001e-04,7.7951e-04,4.1934e-05,4.8903e-04,1.9911e-03,5.5476e-04,1.7323e-04,1.18e-03,0.55,90,89.2,89.1,89.3,89.0,89.1,89.4,99%
w256_d500,4600,1e-2 (paper),1.0e-2,1.0713e-03,6.2366e-04,1.8739e-03,8.2292e-04,1.5404e-03,7.9033e-04,3.2904e-04,1.05e-03,1.02,116,129.3,129.9,128.8,129.0,130.2,128.7,111%
w256_d800,4800,10 x lr_u,1.0607e-03,2.3550e-03,3.6506e-03,1.3087e-03,8.8121e-03,1.2604e-03,2.5998e-04,1.3400e-04,2.54e-03,0.93,145,155.4,155.6,156.2,154.9,155.6,154.7,107%
w256_d1000,4900,1 x lr_u,9.4868e-05,9.2300e-04,5.6244e-04,1.1377e-03,1.6424e-03,1.0535e-03,1.4776e-04,6.3371e-04,1.86e-03,0.50,170,169.9,170.0,169.7,169.3,170.3,170.3,100%
wd10_d100,3500,1e-2 (paper),1.0e-2,1.7944e-03,1.5864e-03,1.8363e-03,5.3308e-04,3.9653e-03,3.2373e-05,2.6050e-03,2.86e-03,0.63,53,52.1,52.5,52.3,52.0,52.0,51.9,98%
wd10_d300,3500,1e-2 (paper),1.0e-2,5.1177e-04,4.0210e-04,1.1300e-03,4.2280e-05,4.1304e-04,3.5815e-04,6.1536e-04,3.27e-04,1.57,103,87.2,87.0,87.1,87.0,87.9,86.9,85%
wd10_d500,3500,10 x lr_u,1.3416e-03,1.9824e-03,1.3601e-03,4.1336e-03,1.8978e-03,2.0690e-03,4.3711e-04,1.3746e-03,6.41e-04,3.09,184,167.6,167.8,167.5,167.6,167.2,167.8,91%
wd10_d800,3000,10 x lr_u,1.0607e-03,2.4299e-03,1.6136e-03,1.2506e-04,3.0941e-03,4.1963e-03,3.2428e-03,1.4914e-03,1.28e-03,1.90,386,328.9,329.3,328.3,328.5,329.2,329.0,85%
wd10_d1000,4100,10 x lr_u,9.4868e-04,1.4715e-03,1.0740e-03,2.0277e-03,1.4685e-03,5.3637e-04,3.6671e-04,2.9581e-03,3.77e-03,0.39,615,603.6,603.4,603.6,604.1,603.0,603.7,98%
