dim,gpus,rt_b256,rt_b128,re_b256,re_b128,rt_paper_printed,ratio_b128_printed,batch_cost_256_128,ddp_speed_b256,ddp_speed_b128
100,1,137.2086,111.3960,0.063418,0.050166,153,0.7281,1.2317,1.0000,1.0000
100,2,141.9423,136.1236,0.066880,0.046977,151,0.9015,1.0427,0.9667,0.8183
100,4,160.3680,150.4022,0.064858,0.049081,142,1.0592,1.0663,0.8556,0.7407
100,8,160.6713,152.1070,0.059129,0.057933,148,1.0278,1.0563,0.8540,0.7324
500,1,746.3310,409.6759,0.051690,0.039983,775,0.5286,1.8218,1.0000,1.0000
500,2,418.6719,230.4404,0.058643,0.040041,430,0.5359,1.8168,1.7826,1.7778
500,4,239.5112,151.1616,0.059702,0.044045,233,0.6488,1.5845,3.1161,2.7102
500,8,163.8528,155.5912,0.054659,0.055479,153,1.0169,1.0531,4.5549,2.6330
800,1,1841.3728,960.9768,0.079801,0.057918,1350,0.7118,1.9161,1.0000,1.0000
800,2,970.3669,517.4534,0.079097,0.051063,721,0.7177,1.8753,1.8976,1.8571
800,4,533.2723,295.4604,0.087091,0.059213,393,0.7518,1.8049,3.4530,3.2525
800,8,308.5761,194.0769,0.079931,0.043180,231,0.8402,1.5900,5.9673,4.9515
1000,1,2545.3743,1299.5250,0.142134,0.138884,1909,0.6807,1.9587,1.0000,1.0000
1000,2,1314.0197,701.3492,0.143525,0.145346,1001,0.7006,1.8736,1.9371,1.8529
1000,4,708.8663,387.6269,0.153534,0.129306,536,0.7232,1.8287,3.5908,3.3525
1000,8,397.9430,235.3443,0.144766,0.149809,302,0.7793,1.6909,6.3963,5.5218
2000,1,9527.9290,4811.7437,0.145748,0.127852,5032,0.9562,1.9801,1.0000,1.0000
2000,2,4867.6465,2500.7832,0.135110,0.117891,2582,0.9685,1.9464,1.9574,1.9241
2000,4,2509.7340,1354.1265,0.136433,0.128440,1387,0.9763,1.8534,3.7964,3.5534
2000,8,1368.5083,773.8170,0.133377,0.123737,773,1.0011,1.7685,6.9623,6.2182
